answer,clue 1,clue 2,clue 3,clue 4,clue 5
SITRUS BERRY,Bug-Catching Contest ball,National Park contest ball,Restores 30 HP,30-HP restorative,Tradable exchange item
SIX ISLAND,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto,
SIZZLIPEDE,Radiator Pokemon,Gen VIII Fire/Bug species,Bug egg-group species,,
SIZZLY SLIDE,Fire physical move,Gen VII Fire move,60-power move,,
SKARMORY,Armor Bird Pokemon,Mega form turns Steel/Flying,Gen II Steel/Flying species,Flying egg-group species,
SKATER,Gen V ability,,,,
SKELEDIRGE,Singer Pokemon,Gen IX Fire/Ghost species,Evolves from Crocalor,Ground egg-group species,
SKETCH,Normal status move,Gen II Normal move,,,
SKIDDO,Mount Pokemon,Gen VI Grass species,Ground egg-group species,,
SKILL LINK,Shellder And Cloyster's signature Ability,Gen IV ability,,,
SKILL SWAP,Psychic status move,Gen III Psychic move,,,
SKIPLOOM,Cottonweed Pokemon,Gen II Grass/Flying species,Evolves from Hoppip,Fairy egg-group species,
SKITTER SMACK,Bug physical move,Gen VIII Bug move,70-power move,,
SKITTY,Kitten Pokemon,Gen III Normal species,Ground egg-group species,,
SKORUPI,Scorpion Pokemon,Gen IV Poison/Bug species,Bug egg-group species,,
SKRELP,Mock Kelp Pokemon,Gen VI Poison/Water species,Water1 egg-group species,,
SKULL BASH,Normal physical move,Gen I Normal move,130-power move,boosting move,
SKULL FOSSIL,Revives into Cranidos,Gen IV relic for Cranidos,Prehistoric revival item,,
SKUNTANK,Skunk Pokemon,Gen IV Poison/Dark species,Evolves from Stunky,Ground egg-group species,
SKWOVET,Cheeky Pokemon,Gen VIII Normal species,Ground egg-group species,,
SKY ATTACK,Flying physical move,Gen I Flying move,140-power move,flinch-causing move,
SKY DROP,Flying physical move,Gen V Flying move,60-power move,,
SKY PILLAR,Route 131 tower,Island location,Hoenn town,Hoenn landmark,Town-side landmark
SKY PLATE,The Holder'S Flying-Type Moves By Power boost item,Boosts Flying moves for The Holder',Flying-move booster,Signature orb for The Holder',Species-specific power orb
SKY UPPERCUT,Fighting physical move,Gen III Fighting move,85-power move,,
SLACK OFF,Normal status move,Gen III Normal move,,,
SLAKING,Lazy Pokemon,Gen III Normal species,Evolves from Vigoroth,Ground egg-group species,
SLAKOTH,Slacker Pokemon,Gen III Normal species,Ground egg-group species,,
SLAM,Normal physical move,Gen I Normal move,80-power move,,
SLASH,Normal physical move,critical-hit move,Gen I Normal move,70-power move,
SLATEPORT,Beach house landmark,Hoenn town,Hoenn landmark,Town-side landmark,Urban landmark
SLEEP POWDER,Grass status move,Gen I Grass move,,,
SLEEP TALK,Normal status move,Gen II Normal move,,,
SLIGGOO,Soft Tissue Pokemon,Gen VI Dragon species,Evolves from Goomy,Dragon egg-group species,
SLIPPERY SLOPE,Galar landmark,Galar slope,,,
SLITHER WING,Paradox Pokemon,No-Eggs egg-group species,,,
SLOWBRO,Hermit Crab Pokemon,Mega form turns Water/Psychic,Gen I Water/Psychic species,Evolves from Slowpoke,Monster egg-group species
SLOWBRONITE,Slowbro Mega stone,Mega Evolution stone,Held stone for Slowbro,Held Mega stone,Mega trigger stone
SLOWKING,Royal Pokemon,Gen II Water/Psychic species,Evolves from Slowpoke,Monster egg-group species,
SLOWPOKE,Dopey Pokemon,Gen I Water/Psychic species,Monster egg-group species,,
SLOWPOKE TAIL,Gen VI unused,Berry-blending ingredient,unused,,
SLOWPOKE WELL,Site on Route 33,Johto town,Johto landmark,Town-side landmark,Town in Johto
SLOW START,Regigigas's signature Ability,Gen IV ability,switching ability,,
SLUDGE,Poison special move,Gen I Poison move,65-power move,poisoning move,
SLUDGE BOMB,Poison special move,Gen II Poison move,90-power move,poisoning move,
SLUDGE MOUND,Crimson Mirelands area,Hisui landmark,,,
SLUDGE WAVE,Poison special move,Gen V Poison move,95-power move,poisoning move,
SLUGMA,Lava Pokemon,Gen II Fire species,Indeterminate egg-group species,,
SLURPUFF,Meringue Pokemon,Gen VI Fairy species,Evolves from Swirlix,Fairy egg-group species,
SLUSH RUSH,Weather-linked trait,,,,
SMACK DOWN,Rock physical move,Gen V Rock move,50-power move,,
SMALL BOUQUET,Valuable sellable loot,Vendor treasure,,,
SMART STRIKE,Steel physical move,Gen VII Steel move,70-power move,,
SMEARGLE,Painter Pokemon,Gen II Normal species,Ground egg-group species,,
SMELLING SALTS,Normal physical move,paralyzing move,Gen III Normal move,70-power move,
SMOG,Poison special move,Gen I Poison move,30-power move,poisoning move,
SMOKE BALL,Held battle item,,,,
SMOKESCREEN,Normal status move,Gen I Normal move,debuffing move,,
SMOLIV,Olive Pokemon,Gen IX Grass/Normal species,Plant egg-group species,,
SMOOCHUM,Kiss Pokemon,No-Eggs egg-group species,,,
SMOOTH ROCK,Extends the,The lengthener,,,
SNAP TRAP,Grass physical move,Gen VIII Grass move,35-power move,,
SNARL,Dark special move,Gen V Dark move,55-power move,debuffing move,
SNATCH,Dark status move,Gen III Dark move,priority move,,
SNEASEL,Sharp Claw Pokemon,Gen II Dark/Ice species,Ground egg-group species,,
SNEASLER,Free Climb Pokemon,Evolves from Hisuian,Ground egg-group species,,
SNIPER,critical-hit trait,,,,
SNIPE SHOT,Water special move,Gen VIII Water move,80-power move,,
SNIVY,Grass Snake Pokemon,Gen V Grass species,Ground egg-group species,,
SNOM,Worm Pokemon,Gen VIII Worm Pokemon,Gen VIII Ice/Bug species,Bug egg-group species,
SNORE,Normal special move,Gen II Normal move,50-power move,flinch-causing move,
SNORLAX,Sleeping Pokemon,Gen I Normal species,Evolves from Munchlax,Monster egg-group species,
SNORUNT,Snow Hat Pokemon,Gen III Ice species,Fairy egg-group species,,
SNOVER,Frost Tree Pokemon,Gen IV Grass/Ice species,Monster egg-group species,,
SNOWBALL,Boosts Attack after hit with an ice-type attack,Attack boost on trigger,Special Poke Ball,,
SNOWBELLE,Kalos city,Kalos landmark,Urban landmark,City in Kalos,
SNOWBELLE GATE,Kalos route connector,Kalos landmark,Connector gate in Kalos,,
SNOW CLOAK,Weather-linked trait,protective trait,,,
SNOWPOINT,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
SNOWSCAPE,Ice status move,Gen IX Ice move,0-power move,boosting move,healing move
SNOW WARNING,Snover And Abomasnow's signature Ability,Weather-linked trait,,,
SNUBBULL,Fairy Pokemon,Gen II Fairy species,Ground egg-group species,,
SOAK,Water status move,Gen V Water move,,,
SOBBLE,Water Lizard Pokemon,Gen VIII Water species,Water1 egg-group species,,
SOCARRAT TRAIL,Paldea forest,Paldea landmark,Forest in Paldea,,
SODA POP,Safari Zone catcher,Pinch-healing berry,Great Marsh capture tool,Restores 60 HP,Half-HP recovery berry
SOFT BOILED,Normal status move,Gen I Normal move,,,
SOFT SAND,The Holder'S Ground-Type Moves By Power boost item,Boosts Ground moves for The Holder',Ground-move booster,Signature orb for The Holder',Species-specific power orb
SOLACEON,Site on Route 209,Sinnoh town,Ancient regional ruins,Sinnoh landmark,Town-side landmark
SOLACEON RUINS,Crimson Mirelands area,Sinnoh town,Sinnoh landmark,Town-side landmark,Town in Sinnoh
SOLAR BEAM,Grass special move,Gen I Grass move,120-power move,,
SOLAR BLADE,Grass physical move,Gen VII Grass move,125-power move,,
SOLAR POWER,Weather-linked trait,,,,
SOLGALEO,Legendary Pokemon,Gen VII Sunne Pokemon,Evolves from Cosmoem,No-Eggs egg-group species,
SOLID ROCK,Gen IV ability,,,,
SOLOSIS,Cell Pokemon,Gen V Psychic species,Indeterminate egg-group species,,
SOLROCK,Meteorite Pokemon,Gen III Rock/Psychic species,Mineral egg-group species,,
SONIAS BOOK,Story-progress key item,Plot-critical key,,,
SONIC BOOM,Always deals 20 damage,Normal special move,Gen I Normal move,,
SONOROUS PATH,Hisui landmark,Located in The Southern Region Of The Coronet Highlands Of Hisui,,,
SOOTHE BELL,Special Poke Ball,Held battle item,,,
SOOTOPOLIS,Hoenn city,Hoenn landmark,Urban landmark,City in Hoenn,
SOOT SACK,Unlocks progression content,Progress-gating key item,Adventure utility item,,
SOUL DEW,Boosts Psychic/Dragon moves for Latios Or Latias,Power item for Psychic- And Dragon-Type Moves,Psychic- And Dragon-Type Moves-only held item,Signature orb for Latios Or Latias,Species-specific power orb
SOUL HEART,Magearna's signature Ability,boosting trait,,,
SOUNDPROOF,Damages sleeping foes,Nightmare-causing trait,Sleep-punishing trait,Status-blocking trait,Prevents major status ailments
SPACE WORLD,regional map location,Gen IV location,,,
SPACIAL REND,Dragon special move,critical-hit move,Gen IV Dragon move,100-power move,
SPARK,Electric physical move,paralyzing move,Gen II Electric move,65-power move,
SPARKLING ARIA,Water special move,burning move,Gen VII Water move,90-power move,
SPARKLY SWIRL,Fairy special move,Gen VII Fairy move,120-power move,,
SPEAROW,Tiny Bird Pokemon,Gen I Normal/Flying species,Flying egg-group species,,
SPEAR PILLAR,Ancient regional ruins,Sinnoh landmark,,,
SPECTRAL THIEF,Ghost physical move,Gen VII Ghost move,90-power move,,
SPECTRIER,Legendary Pokemon,Gen VIII Swift Horse Pokemon,No-Eggs egg-group species,,
SPEED BOOST,boosting trait,,,,
SPEED SWAP,Psychic status move,Gen VII Psychic move,,,
SPELL TAG,The Holder'S Ghost-Type Moves By Power boost item,Boosts Ghost moves for The Holder',Ghost-move booster,Signature orb for The Holder',Species-specific power orb
SPELON BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
SPEWPA,Scatterdust Pokemon,Gen VI Bug species,Evolves from Scatterbug,Bug egg-group species,
SPHEAL,Clap Pokemon,Gen III Ice/Water species,Water1 egg-group species,,
SPICY EXTRACT,Grass status move,Stat-lowering move,Gen IX Grass move,0-power move,boosting move
SPIDER WEB,Prevents foes from leaving battle,Bug status move,Gen II Bug move,,
SPIDOPS,Trap Pokemon,Gen IX Bug species,Evolves from Tarountula,Bug egg-group species,
SPIKE CANNON,Normal physical move,Gen I Normal move,20-power move,,
SPIKEMUTH,Site on Route 9,Galar town,Galar landmark,Town-side landmark,Town in Galar
SPIKES,Ground status move,Gen II Ground move,switching move,,
SPIKES PASSAGE,Kalos mountain pass,Kalos pass,Pass in Kalos,Regional pass,Kalos landmark
SPIKY SHIELD,Grass status move,Gen VI Grass move,priority move,,
SPINARAK,String Spit Pokemon,Gen II Bug/Poison species,Bug egg-group species,,
SPINDA,Spot Panda Pokemon,Gen III Normal species,Ground egg-group species,,
SPIN OUT,Steel physical move,Gen IX Steel move,100-power move,debuffing move,
SPIRIT BREAK,Fairy physical move,Gen VIII Fairy move,75-power move,debuffing move,
SPIRITOMB,Forbidden Pokemon,Gen IV Ghost/Dark species,Indeterminate egg-group species,,
SPIRIT SHACKLE,Ghost physical move,Gen VII Ghost move,80-power move,,
SPITE,Ghost status move,Gen II Ghost move,debuffing move,,
SPIT UP,Normal special move,Gen III Normal move,,,
SPLASH,Normal status move,Gen I Normal move,,,
SPLASH PLATE,The Holder'S Water-Type Moves By Power boost item,Boosts Water moves for The Holder',Water-move booster,Signature orb for The Holder',Species-specific power orb
SPLISHY SPLASH,Water special move,Gen VII Water move,90-power move,,
SPOINK,Bounce Pokemon,Gen III Psychic species,Ground egg-group species,,
SPONGE,Gen V ability,,,,
SPOOKY PLATE,The Holder'S Ghost-Type Moves By Power boost item,Boosts Ghost moves for The Holder',Ghost-move booster,Signature orb for The Holder',Species-specific power orb
SPORT BALL,Bug-Catching Contest ball,National Park contest ball,Special Poke Ball,,
SPOTLIGHT,Normal status move,Gen VII Normal move,priority move,,
SPRAYDUCK,Unlocks progression content,Progress-gating key item,Adventure utility item,,
SPRIGATITO,Grass Cat Pokemon,Gen IX Grass species,Ground egg-group species,,
SPRING PATH,Sinnoh cave,Sinnoh landmark,Cave in Sinnoh,,
SPRINKLOTAD,Unlocks progression content,Progress-gating key item,Adventure utility item,,
SPRINT,Gen V ability,,,,
SPRITZEE,Perfume Pokemon,Gen VI Fairy species,Fairy egg-group species,,
SPROUT TOWER,Johto city,Johto landmark,Urban landmark,City in Johto,
SQUAWKABILLY,Parrot Pokemon,Gen IX Normal/Flying species,Flying egg-group species,,
SQUIRT BOTTLE,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
SQUIRTLE,Tiny Turtle Pokemon,Gen I Water species,Monster egg-group species,,
SS ANNE,Kanto landmark,,,,
SS AQUA,Johto landmark,,,,
SS TICKET,Story or event key item,Story-progress key item,Plot-critical key,Unlocking key item,
SS TICKET HOENN,Story or event key item,Unlocking key item,,,
SS TIDAL,Hoenn landmark,,,,
STAKATAKA,Rampart Pokemon,No-Eggs egg-group species,,,
STAKEOUT,Yungoos And Gumshoos's signature Ability,switching trait,,,
STALL,Sableye's signature Ability,priority trait,,,
STALWART,Duraludon And Archaludon's signature Ability,Gen VIII ability,draining ability,switching ability,
STAMINA,Mudbray And Mudsdale's signature Ability,boosting trait,,,
STANCE CHANGE,Aegislash's signature Ability,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,switching trait
STANTLER,Big Horn Pokemon,Gen II Normal species,Ground egg-group species,,
STARAPTOR,Leaves its flock behind,Gray-Brown bird of prey,Lives apart from its flock,Mega form turns Fighting/Flying,Large-foe challenger
STARAVIA,Starling Pokemon,Gen IV Normal/Flying species,Evolves from Starly,Flying egg-group species,
STARDUST,Valuable sellable loot,Vendor treasure,,,
STARF BERRY,Its Stats In A Pinch One boost item,Power item for Its Stats In A Pinch,Poor on most other targets,PokBlock and Poffin berry,Berry-blending ingredient
STARK MOUNTAIN,Site on Route 227,Sinnoh cave,Sinnoh landmark,Cave in Sinnoh,
STARLY,Starling Pokemon,Gen IV Normal/Flying species,Flying egg-group species,,
STARMIE,Mysterious Pokemon,Mega form turns Water/Psychic,Gen I Water/Psychic species,Evolves from Staryu,Water3 egg-group species
STAR PIECE,Tradable exchange item,Exchangeable collectible,Valuable sellable loot,Vendor treasure,
STAR SWEET,Milcery evolution item,Requires a spin while held,Spin-to-evolve held item,Evolution-trigger item,
STARYU,Star Shape Pokemon,Gen I Water species,Water3 egg-group species,,
STATIC,Punishes contact attackers,Damages foes on contact KO,Contact-backlash trait,paralyzing trait,
STEADFAST,boosting trait,flinch-causing trait,,,
STEALTH,core-series ability,,,,
STEALTH ROCK,switching move,Rock status move,,,
STEAMDRIFT WAY,Galar landmark,Galar route,Route in Galar,,
STEAM ENGINE,Rolycoly'S Evolutionary Line's signature Ability,Gen VIII ability,,,
STEAM ERUPTION,Water special move,burning move,Gen VI Water move,110-power move,
STEAMROLLER,Bug physical move,Gen V Bug move,65-power move,flinch-causing move,
STEEL,metallic element,poison-immune type,battle element,,
STEEL BEAM,140-power move,Steel special move,,,
STEEL GEM,Held battle item,One-use Steel booster,,,
STEELIX,Iron Snake Pokemon,Mega form turns Steel/Ground,Gen II Steel/Ground species,Evolves from Onix,Mineral egg-group species
STEELIXITE,Steelix Mega stone,Mega Evolution stone,Held stone for Steelix,Mega trigger stone,
STEEL MEMORY,Species-linked power item,Signature battle item,,,
STEEL ROLLER,130-power move,Steel physical move,,,
STEEL WING,70-power move,boosting move,,,
STEELWORKER,Dhelmise's signature Ability,Gen VII ability,,,
STEELY SPIRIT,Perrserker's signature Ability,Gen VIII ability,,,
STEENEE,Fruit Pokemon,Gen VII Grass species,Evolves from Bounsweet,Plant egg-group species,
STELLAR,combat type,battle element,,,
STENCH,Punishes contact attackers,Grimer And Muk's signature Ability,Damages foes on contact KO,Contact-backlash trait,flinch-causing trait
STICK,critical-hit item,species specific,boosting item,,
STICKY BARB,Held battle item,,,,
STICKY HOLD,Gen III ability,protective ability,switching ability,,
STICKY WEB,Bug status move,Gen VI Bug move,debuffing move,switching move,
STOCKPILE,Normal status move,Gen III Normal move,,,
STOMP,Normal physical move,Gen I Normal move,65-power move,flinch-causing move,
STONE AXE,Rock physical move,critical-hit move,Gen VIII Rock move,65-power move,
STONE EDGE,Rock physical move,critical-hit move,Gen IV Rock move,100-power move,
STONE PLATE,The Holder'S Rock-Type Moves By Power boost item,Boosts Rock moves for The Holder',Rock-move booster,Signature orb for The Holder',Species-specific power orb
STONJOURNER,Big Rock Pokemon,Gen VIII Rock species,Mineral egg-group species,,
STORAGE KEY,Unlocks progression content,Story or event key item,,,
STORED POWER,Psychic special move,Gen V Psychic move,boosting move,,
STORM DRAIN,draining trait,,,,
STORM THROW,Fighting physical move,critical-hit move,Gen V Fighting move,60-power move,
STOUTLAND,Big-Hearted Pokemon,Gen V Normal species,Evolves from Herdier,Ground egg-group species,
STOW ON SIDE,Galar landmark,,,,
STRANGE BALL,Event-only key item,Mythic event item,Special Poke Ball,,
STRANGE HOUSE,Unova landmark,Unova house,,,
STRANGE STEAM,Fairy special move,Gen VIII Fairy move,90-power move,,
STRENGTH,Normal physical move,Gen I Normal move,80-power move,,
STRENGTH SAP,Grass status move,Gen VII Grass move,debuffing move,,
STRIATON,Unova city,Unova landmark,City in Unova,,
STRING SHOT,Bug status move,Gen I Bug move,debuffing move,,
STRONG JAW,Gen VI ability,poisoning ability,,,
STRUGGLE,Normal physical move,Gen I Normal move,50-power move,,
STRUGGLE BUG,50-power move,debuffing move,,,
STUFF CHEEKS,Normal status move,Gen VIII Normal move,,,
STUFFUL,Flailing Pokemon,Gen VII Normal/Fighting species,Ground egg-group species,,
STUNFISK,Trap Pokemon,Gen V Ground/Electric species,Water1 egg-group species,,
STUNKY,Skunk Pokemon,Gen IV Poison/Dark species,Ground egg-group species,,
STUN SPORE,Grass status move,paralyzing move,Gen I Grass move,,
STURDY,protective trait,,,,
STYLE CARD,Story or event key item,Unlocking key item,Adventure utility item,,
SUBMISSION,Fighting physical move,Gen I Fighting move,80-power move,,
SUBSTITUTE,Normal status move,Gen I Normal move,protective move,,
SUCKER PUNCH,Dark physical move,Gen IV Dark move,70-power move,priority move,
SUCTION CUPS,Prevents escape,Traps opposing Pokemon,No-escape battle trait,Status-blocking trait,Prevents major status ailments
SUDOWOODO,Imitation Pokemon,Gen II Rock species,Evolves from Bonsly,Mineral egg-group species,
SUICUNE,Legendary Pokemon,Gen II Aurora Pokemon,No-Eggs egg-group species,,
SUITE KEY,Opens A Locked Building In The Lakeside Resort,Unlocks progression content,Mythic event item,,
SUNFLORA,Sun Pokemon,Gen II Grass species,Evolves from Sunkern,Plant egg-group species,
SUN FLUTE,Evolves Nebby into Solgaleo,Nebby evolution item,Held item for Solgaleo,Unlocks progression content,Progress-gating key item
SUNKERN,Seed Pokemon,Gen II Grass species,Plant egg-group species,,
SUNNY DAY,Fire status move,Gen II Fire move,,,
SUN STONE,Bug-Catching Contest ball,National Park contest ball,Held item for Lilligant,Evolution-trigger item,
SUNYSHORE,Sinnoh city,Sinnoh landmark,Town-side landmark,Urban landmark,City in Sinnoh
SUPERCELL SLAM,Electric physical move,Gen IX Electric move,100-power move,protective move,
SUPER FANG,Normal physical move,Gen I Normal move,,,
SUPER LUCK,Murkrow And Honchkrow's signature Ability,critical-hit trait,boosting trait,,
SUPER LURE,spelunking,,,,
SUPER POTION,Safari Zone catcher,Pinch-healing berry,Great Marsh capture tool,Restores 50 HP,Half-HP recovery berry
SUPERPOWER,Fighting physical move,Gen III Fighting move,120-power move,debuffing move,
SUPER REPEL,Safari Zone catcher,Great Marsh capture tool,Event-only distribution item,Limited event key item,
SUPER ROD,Unlocks progression content,Progress-gating key item,Adventure utility item,,
SUPERSONIC,Confusion-causing move,Normal status move,Gen I Normal move,,
SURF,Water special move,Gen I Water move,90-power move,,
SURGE BADGE,Unlocks progression content,Progress-gating key item,,,
SURGE SURFER,Alolan Raichu's signature Ability,Gen VII ability,,,
SURSKIT,Pond Skater Pokemon,Gen III Bug/Water species,Water1 egg-group species,,
SURVIVAL,Sinnoh house,House in Sinnoh,Regional house,Sinnoh landmark,
SWABLU,Cotton Bird Pokemon,Gen III Normal/Flying species,Flying egg-group species,,
SWADLOON,Leaf-Wrapped Pokemon,Gen V Bug/Grass species,Evolves from Sewaddle,Bug egg-group species,
SWAGGER,Confusion-causing move,Normal status move,Gen II Normal move,boosting move,
SWALLOW,Normal status move,Gen III Normal move,healing move,,
SWALOT,Poison Bag Pokemon,Gen III Poison species,Evolves from Gulpin,Indeterminate egg-group species,
SWAMPERT,Mud Fish Pokemon,Mega form turns Water/Ground,Gen III Water/Ground species,Evolves from Marshtomp,Monster egg-group species
SWAMPERTITE,Swampert Mega stone,Mega Evolution stone,Held stone for Swampert,Held Mega stone,Mega trigger stone
SWANNA,White Bird Pokemon,Gen V Water/Flying species,Evolves from Ducklett,Water1 egg-group species,
SWARM,Gen III ability,,,,
SWEET APPLE,Evolves Applin into Appletun Upon Use,Applin evolution item,Held item for Appletun Upon Use,Evolution-trigger item,
SWEET HEART,Pinch-healing berry,Restores 20 HP,Half-HP recovery berry,20-HP restorative,Tradable exchange item
SWEET KISS,Confusion-causing move,Fairy status move,Gen II Fairy move,,
SWEET SCENT,Normal status move,Gen II Normal move,debuffing move,,
SWEET VEIL,Swirlix And Slurpuff's signature Ability,Gen VI ability,protective ability,,
SWELLOW,Swallow Pokemon,Gen III Normal/Flying species,Evolves from Taillow,Flying egg-group species,
SWIFT,Normal special move,Gen I Normal move,60-power move,,
SWIFT MOCHI,Gen IX vitamins,vitamins,,,
SWIFT SWIM,Weather-linked trait,,,,
SWIFT WING,Gen V vitamins,vitamins,,,
SWINUB,Pig Pokemon,Gen II Ice/Ground species,Ground egg-group species,,
SWIRLIX,Cotton Candy Pokemon,Gen VI Fairy species,Fairy egg-group species,,
SWITCHEROO,Dark status move,Gen IV Dark move,,,
SWOOBAT,Courting Pokemon,Gen V Psychic/Flying species,Evolves from Woobat,Ground egg-group species,
SWORD OF RUIN,debuffing trait,,,,
SWORDS DANCE,Normal status move,Gen I Normal move,boosting move,,
SYLVEON,Intertwining Pokemon,Gen VI Fairy species,Evolves from Eevee,Ground egg-group species,
SYMBIOSIS,Oranguru's signature Ability,Gen VI ability,switching ability,,
SYNCHRONIZE,Status-blocking trait,Prevents major status ailments,Ailment-proof trait,burning trait,paralyzing trait
SYNCHRONOISE,Psychic special move,Gen V Psychic move,120-power move,,
SYNTHESIS,Grass status move,Gen II Grass move,,,
SYRUP BOMB,Grass special move,Stat-lowering move,Gen IX Grass move,60-power move,debuffing move
SYRUPY APPLE,Evolves Applin into Dipplin Upon Use,Applin evolution item,Held item for Dipplin Upon Use,Evolution-trigger item,
TABLETS OF RUIN,debuffing trait,,,,
TACHYON CUTTER,Steel special move,critical-hit move,Gen IX Steel move,50-power move,flinch-causing move
TACKLE,Normal physical move,Gen I Normal move,40-power move,,
TADBULB,EleTadpole Pokemon,Gen IX Electric species,Water1 egg-group species,,
TAIL GLOW,Bug status move,Gen III Bug move,boosting move,,
TAILLOW,Tiny Swallow Pokemon,Gen III Normal/Flying species,Flying egg-group species,,
TAIL SLAP,Normal physical move,Gen V Normal move,25-power move,,
TAIL WHIP,Normal status move,Gen I Normal move,debuffing move,,
TAILWIND,Flying status move,Gen IV Flying move,,,
TAKE DOWN,Normal physical move,Gen I Normal move,90-power move,,
TAKE HEART,Psychic status move,Gen VIII Psychic move,0-power move,boosting move,
TALONFLAME,Scorching Pokemon,Gen VI Fire/Flying species,Evolves from Fletchinder,Flying egg-group species,
TAMATO BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
TANDEMAUS,Couple Pokemon,Gen IX Normal species,Ground egg-group species,,
TANGA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
TANGELA,Vine Pokemon,Gen I Grass species,Plant egg-group species,,
TANGLED FEET,Gen IV ability,,,,
TANGLING HAIR,Punishes contact attackers,Alolan Diglett And Alolan Dugtrio's signature Ability,Damages foes on contact KO,Contact-backlash trait,debuffing trait
TANGROWTH,Vine Pokemon,Gen IV Grass species,Evolves from Tangela,Plant egg-group species,
TANOBY RUINS,Kanto island,Island in Kanto,Regional island,Island location,
TAPU,Island location,,,,
TAPU BULU,Legendary Pokemon,Gen VII Land Spirit Pokemon,No-Eggs egg-group species,,
TAPU FINI,Legendary Pokemon,Gen VII Land Spirit Pokemon,No-Eggs egg-group species,,
TAPU KOKO,Legendary Pokemon,Gen VII Land Spirit Pokemon,No-Eggs egg-group species,,
TAPU LELE,Legendary Pokemon,Gen VII Land Spirit Pokemon,No-Eggs egg-group species,,
TAROUNTULA,String Ball Pokemon,Gen IX Bug species,Bug egg-group species,,
TAR SHOT,Rock status move,Stat-lowering move,Gen VIII Rock move,debuffing move,
TART APPLE,Evolves Applin into Flapple Upon Use,Applin evolution item,Held item for Flapple Upon Use,Evolution-trigger item,
TATSUGIRI,Mimicry Pokemon,Gen IX Dragon/Water species,Mega-evolving species,Water2 egg-group species,
TAUNT,Dark status move,Gen III Dark move,,,
TAUROS,Wild Bull Pokemon,Gen I Normal species,Ground egg-group species,,
TEACHY TV,Adventure utility item,,,,
TEAL MASK,Unlocks progression content,Event-only key item,Progress-gating key item,Mythic event item,
TEAL STYLE CARD,Story or event key item,Unlocking key item,Adventure utility item,,
TEAM ROCKET HQ,Johto landmark,,,,
TEARFUL LOOK,Normal status move,Gen VII Normal move,debuffing move,,
TEATIME,Normal status move,Gen VIII Normal move,,,
TECHNICIAN,Weather-linked trait,,,,
TECHNO BLAST,Normal special move,Gen V Normal move,120-power move,,
TEDDIURSA,Little Bear Pokemon,Gen II Normal species,Ground egg-group species,,
TEETER DANCE,Confusion-causing move,Normal status move,Gen III Normal move,,
TELEKINESIS,Psychic status move,Gen V Psychic move,,,
TELEPATHY,protective trait,,,,
TELEPORT,Psychic status move,Gen I Psychic move,,,
TEMPER FLARE,Fire physical move,paralyzing move,Gen IX Fire move,75-power move,protective move
TENACITY,Gen V ability,,,,
TEN CARAT HILL,Island location,Alola city,Alola landmark,Urban landmark,City in Alola
TENTACOOL,Jellyfish Pokemon,Gen I Water/Poison species,Water3 egg-group species,,
TENTACRUEL,Jellyfish Pokemon,Gen I Water/Poison species,Evolves from Tentacool,Water3 egg-group species,
TEPIG,Fire Pig Pokemon,Gen V Fire species,Ground egg-group species,,
TERA BLAST,Normal special move,Gen IX Normal move,80-power move,debuffing move,priority move
TERAFORM ZERO,Weather-linked trait,,,,
TERA ORB,Unlocks progression content,Event-only key item,Progress-gating key item,Mythic event item,Species-linked power item
TERAPAGOS,Legendary Pokemon,Gen IX Tera Pokemon,No-Eggs egg-group species,,
TERA SHELL,Gen IX ability,,,,
TERA SHIFT,Gen IX ability,,,,
TERA STARSTORM,Normal special move,Gen IX Normal move,120-power move,,
TERAVOLT,Zekrom And Black Kyurem's signature Ability,Gen V ability,,,
TERMINUS CAVE,Kalos landmark,Kalos cave,,,
TERRA CAVE,Hoenn landmark,Hoenn cave,,,
TERRAIN PULSE,Normal special move,Gen VIII Normal move,50-power move,,
TERRAKION,Legendary Pokemon,Gen V Cavern Pokemon,No-Eggs egg-group species,,
TG ETERNA BLDG,Sinnoh landmark,,,,
THE HEARTWOOD,Hisui forest,Hisui landmark,Forest in Hisui,,
THICK CLUB,Attack Stat Of A Cubone Or Marowak-only held item,Power item for Attack Stat Of A Cubone Or Marowak,,,
THICK FAT,Gen III ability,boosting ability,,,
THIEF,Dark physical move,Gen II Dark move,60-power move,,
THIEVUL,Fox Pokemon,Gen VIII Fox Pokemon,Gen VIII Dark species,Evolves from Nickit,Ground egg-group species
THOUSAND WAVES,Prevents foes from leaving battle,Ground physical move,Gen VI Ground move,90-power move,
THRASH,Normal physical move,Gen I Normal move,120-power move,,
THREE ISLAND,Kanto town,Kanto landmark,Town-side landmark,Town in Kanto,
THREE ISLE PATH,Kanto house,House in Kanto,Regional house,Island location,Kanto landmark
THREE ISLE PORT,Island location,Kanto cave,Kanto landmark,Cave in Kanto,
